"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2024 BV5)","2024-Feb-06 10:59 ±    00:05","0.09256","0.09105","8.34","8.33","24.2","38 m -   86 m","0"
"(2024 BT3)","2024-Feb-06 13:12 ±    00:02","0.03618","0.03577","5.03","5.02","26.9","11 m -   24 m","0"
"(2024 BO)","2024-Feb-06 23:18 ± < 00:01","0.05080","0.05078","6.07","6.06","25.3","23 m -   52 m","0"
"(2024 CQ4)","2024-Feb-07 01:03 ± < 00:01","0.05419","0.05383","7.50","7.49","25.3","24 m -   53 m","0"
"(2024 DS)","2024-Feb-07 02:44 ±    01:23","0.01762","0.01727","11.95","11.93","25.9","17 m -   39 m","0"
"(2024 DP)","2024-Feb-07 02:49 ±    00:03","0.01127","0.01121","6.69","6.65","25.4","22 m -   48 m","0"
"(2024 CQ2)","2024-Feb-07 05:10 ±    00:01","0.00637","0.00635","10.96","10.93","27.5","8.5 m -   19 m","0"
"(2024 BW4)","2024-Feb-07 05:27 ± < 00:01","0.02972","0.02946","22.10","22.10","24.1","40 m -   89 m","0"
"(2024 CF2)","2024-Feb-07 06:02 ± < 00:01","0.00901","0.00897","29.42","29.41","26.5","13 m -   29 m","0"
"(2024 BK4)","2024-Feb-07 17:08 ± < 00:01","0.07093","0.07071","6.66","6.66","25.2","24 m -   54 m","0"
"(2024 CF4)","2024-Feb-07 21:39 ±    00:04","0.02859","0.02840","22.06","22.06","25.0","26 m -   59 m","0"
"(2024 CK1)","2024-Feb-08 09:29 ± < 00:01","0.00152","0.00152","12.06","11.91","29.4","3.6 m -  8.0 m","0"
"(2024 CO2)","2024-Feb-08 18:51 ±    00:04","0.00380","0.00378","10.60","10.54","26.8","11 m -   25 m","0"
"(2024 EM1)","2024-Feb-09 00:29 ±    02:09","0.05547","0.05526","0.39","0.24","27.1","10 m -   23 m","0"
"(2024 CH1)","2024-Feb-09 06:53 ±    00:04","0.08603","0.08513","7.10","7.10","25.2","25 m -   55 m","0"
"(2024 FQ)","2024-Feb-09 18:41 ± < 00:01","0.03316","0.03316","3.54","3.51","25.6","20 m -   45 m","0"
"(2024 CJ1)","2024-Feb-09 20:10 ± < 00:01","0.00246","0.00245","7.63","7.48","28.4","5.5 m -   12 m","0"
"(2024 BJ4)","2024-Feb-10 09:46 ±    02:04","0.07760","0.07627","8.09","8.08","25.6","20 m -   44 m","0"
"(2024 BH)","2024-Feb-10 10:37 ± < 00:01","0.04704","0.04700","8.08","8.07","23.2","60 m -  130 m","0"
"(2024 CN8)","2024-Feb-10 13:11 ±    00:02","0.00307","0.00306","3.12","2.83","28.9","4.3 m -  9.6 m","0"
"(2024 CV1)","2024-Feb-10 21:53 ± < 00:01","0.01328","0.01324","3.06","3.00","28.7","4.9 m -   11 m","0"
"(2009 DB1)","2024-Feb-11 04:28 ± < 00:01","0.08410","0.08410","15.27","15.27","23.1","65 m -  150 m","0"
"(2024 CZ3)","2024-Feb-11 07:57 ± < 00:01","0.01315","0.01314","9.30","9.28","25.0","27 m -   61 m","0"
"(2024 CU)","2024-Feb-11 08:58 ± < 00:01","0.00462","0.00462","7.25","7.17","26.4","14 m -   31 m","0"
"(2024 EE1)","2024-Feb-11 16:36 ±    01:06","0.04142","0.04110","5.60","5.58","26.0","17 m -   37 m","0"
"(2024 CC4)","2024-Feb-12 04:18 ± < 00:01","0.01176","0.01163","7.76","7.73","27.5","8.3 m -   19 m","0"
"(2024 CY1)","2024-Feb-12 07:32 ± < 00:01","0.00081","0.00081","14.53","14.30","29.2","3.8 m -  8.5 m","0"
"(2020 DK)","2024-Feb-12 13:49 ± 3_12:28","0.02279","0.00941","9.87","9.86","26.1","16 m -   36 m","0"
"(2024 BH5)","2024-Feb-12 14:56 ± < 00:01","0.09367","0.09362","11.82","11.81","23.8","46 m -  100 m","0"
"(2024 CM5)","2024-Feb-12 15:42 ± < 00:01","0.00094","0.00094","10.76","10.50","28.3","5.7 m -   13 m","0"
"(2023 CU)","2024-Feb-12 21:00 ±    00:14","0.09536","0.09515","7.56","7.56","27.2","9.5 m -   21 m","0"
"(2024 CG4)","2024-Feb-13 01:57 ± < 00:01","0.05600","0.05582","18.56","18.55","23.6","49 m -  110 m","0"
"(2024 DD)","2024-Feb-13 03:15 ±    00:14","0.00885","0.00878","13.24","13.22","27.9","6.9 m -   15 m","0"
"(2024 CD4)","2024-Feb-13 05:17 ± < 00:01","0.01114","0.01113","6.39","6.35","26.6","12 m -   28 m","0"
"(2024 CO5)","2024-Feb-13 05:45 ± < 00:01","0.06964","0.06946","6.82","6.82","24.9","27 m -   61 m","0"
"(2024 DH)","2024-Feb-13 09:00 ±    00:01","0.01843","0.01828","17.61","17.60","26.2","16 m -   35 m","0"
"(2024 CB7)","2024-Feb-13 09:47 ± < 00:01","0.01130","0.01128","8.27","8.24","26.0","17 m -   37 m","0"
"(2024 AZ10)","2024-Feb-13 15:52 ± < 00:01","0.08229","0.08227","20.67","20.67","22.5","83 m -  180 m","0"
"(2024 DA)","2024-Feb-13 22:15 ± < 00:01","0.00813","0.00810","12.52","12.49","27.4","8.8 m -   20 m","0"
"(2024 DJ)","2024-Feb-14 03:00 ±    00:06","0.05826","0.05772","18.77","18.76","25.1","25 m -   55 m","0"
"(2024 CD1)","2024-Feb-14 03:03 ±    00:14","0.02528","0.02505","12.30","12.29","26.4","14 m -   31 m","0"
"(2024 CR6)","2024-Feb-14 03:10 ±    00:05","0.00281","0.00280","21.86","21.81","27.9","6.8 m -   15 m","0"
"(2024 CK3)","2024-Feb-14 05:24 ± < 00:01","0.04493","0.04484","7.78","7.77","24.7","30 m -   67 m","0"
"(2024 CL1)","2024-Feb-14 07:11 ±    00:01","0.00865","0.00859","14.25","14.23","25.8","18 m -   41 m","0"
"(2024 DC1)","2024-Feb-14 13:25 ±    01:27","0.04387","0.04325","6.97","6.96","26.7","12 m -   27 m","0"
"(2024 CU1)","2024-Feb-14 13:31 ± < 00:01","0.00391","0.00390","10.81","10.75","26.7","12 m -   27 m","0"
"(2018 CY2)","2024-Feb-14 16:34 ± < 00:01","0.05620","0.05620","15.21","15.20","22.4","86 m -  190 m","0"
"(2024 CE1)","2024-Feb-15 00:01 ± < 00:01","0.02830","0.02800","9.16","9.15","25.6","20 m -   45 m","0"
"(2024 DK1)","2024-Feb-15 07:53 ±    00:05","0.01383","0.01375","6.82","6.79","27.2","9.5 m -   21 m","0"
"(2024 CN3)","2024-Feb-15 12:27 ±    00:14","0.04009","0.03984","9.22","9.21","26.2","15 m -   34 m","0"
"(2024 EW2)","2024-Feb-15 15:54 ±    00:25","0.05203","0.05131","23.29","23.29","22.0","110 m -  240 m","0"
"(2024 CY)","2024-Feb-15 16:42 ± < 00:01","0.05117","0.05116","1.78","1.75","25.4","22 m -   49 m","0"
"(2024 CE4)","2024-Feb-15 19:33 ± < 00:01","0.00628","0.00627","18.67","18.64","27.3","9.3 m -   21 m","0"
"(2024 CP5)","2024-Feb-16 00:25 ± < 00:01","0.04266","0.04251","7.82","7.82","26.0","17 m -   37 m","0"
"(2024 DE)","2024-Feb-16 01:01 ± < 00:01","0.01313","0.01310","6.22","6.19","27.8","7.3 m -   16 m","0"
"(2024 CK6)","2024-Feb-16 01:32 ± < 00:01","0.02878","0.02872","8.23","8.22","26.6","13 m -   29 m","0"
"(2024 CP4)","2024-Feb-16 01:52 ± < 00:01","0.01455","0.01450","11.61","11.60","25.4","23 m -   50 m","0"
"(2024 AO)","2024-Feb-16 03:05 ± < 00:01","0.02370","0.02370","7.29","7.28","24.2","38 m -   85 m","0"
"(2024 CC8)","2024-Feb-16 05:13 ±    00:03","0.07552","0.07489","11.88","11.88","25.1","26 m -   57 m","0"
"(2024 DV)","2024-Feb-16 17:37 ± < 00:01","0.00881","0.00880","5.69","5.64","26.3","15 m -   33 m","0"
"(2024 CT6)","2024-Feb-16 21:24 ± < 00:01","0.00240","0.00240","20.94","20.89","29.2","3.9 m -  8.6 m","0"
"(2024 CA2)","2024-Feb-16 23:40 ±    00:09","0.03009","0.02939","10.74","10.73","24.4","36 m -   80 m","0"
"(2024 CF7)","2024-Feb-17 05:12 ±    00:01","0.00071","0.00071","10.61","10.25","29.5","3.4 m -  7.6 m","0"
"(2024 DZ)","2024-Feb-17 06:32 ±    00:01","0.01216","0.01212","7.59","7.56","28.4","5.4 m -   12 m","0"
"(2024 BJ5)","2024-Feb-17 11:42 ± < 00:01","0.09533","0.09480","11.94","11.94","22.5","83 m -  190 m","0"
"(2024 CR5)","2024-Feb-17 14:43 ± < 00:01","0.04392","0.04345","14.12","14.11","25.6","21 m -   46 m","0"
"(2024 CZ2)","2024-Feb-17 14:49 ±    00:02","0.09022","0.08986","5.60","5.60","25.9","17 m -   39 m","0"
"(2013 DB1)","2024-Feb-17 15:48 ± < 00:01","0.08843","0.08843","4.60","4.59","26.1","16 m -   36 m","0"
"(2024 CS6)","2024-Feb-17 17:29 ± < 00:01","0.01915","0.01911","6.67","6.65","26.1","16 m -   35 m","0"
"(2024 CS7)","2024-Feb-17 22:44 ± < 00:01","0.02097","0.02093","12.84","12.83","25.1","25 m -   56 m","0"
"(2024 CA8)","2024-Feb-18 01:43 ± < 00:01","0.01950","0.01941","26.08","26.07","24.3","36 m -   81 m","0"
"(2024 BC8)","2024-Feb-18 03:37 ± < 00:01","0.01593","0.01588","10.50","10.48","25.4","22 m -   49 m","0"
"(2024 BE2)","2024-Feb-18 09:22 ± < 00:01","0.08550","0.08543","8.46","8.46","23.9","45 m -  100 m","0"
"(2024 DY)","2024-Feb-18 15:28 ± < 00:01","0.00115","0.00115","11.82","11.62","29.0","4.2 m -  9.3 m","0"
"(2016 CA138)","2024-Feb-18 16:44 ± < 00:01","0.06447","0.06447","14.35","14.34","23.3","58 m -  130 m","0"
"(2024 EU2)","2024-Feb-18 18:17 ±    01:26","0.03333","0.03251","12.63","12.62","24.8","29 m -   65 m","0"
"(2024 EY2)","2024-Feb-18 19:58 ± < 00:01","0.07295","0.07284","23.33","23.33","22.0","110 m -  240 m","0"
"(2024 CH2)","2024-Feb-18 23:23 ± < 00:01","0.01458","0.01453","9.59","9.57","26.0","17 m -   37 m","0"
"(2024 DN1)","2024-Feb-19 04:34 ±    00:15","0.09850","0.09653","15.04","15.04","24.5","34 m -   76 m","0"
"(2024 FE4)","2024-Feb-19 05:39 ±    00:01","0.08954","0.08950","6.02","6.01","24.6","32 m -   71 m","0"
"(2024 EU1)","2024-Feb-19 06:04 ±    00:01","0.06888","0.06885","2.92","2.91","25.1","25 m -   56 m","0"
"(2024 CJ6)","2024-Feb-19 14:31 ± < 00:01","0.01177","0.01174","15.40","15.39","26.5","13 m -   30 m","0"
"(2024 DC)","2024-Feb-19 19:49 ± < 00:01","0.03201","0.03179","9.25","9.24","26.7","12 m -   27 m","0"
"(2018 CW2)","2024-Feb-20 03:25 ± < 00:01","0.06533","0.06533","12.66","12.66","25.7","20 m -   44 m","0"
"(2024 ET)","2024-Feb-20 07:33 ± < 00:01","0.05510","0.05477","7.95","7.94","25.4","22 m -   49 m","0"
"(2020 CX1)","2024-Feb-20 09:40 ± < 00:01","0.07809","0.07809","7.26","7.25","24.1","40 m -   89 m","0"
"(2024 DL1)","2024-Feb-20 14:22 ±    00:02","0.01654","0.01645","10.14","10.12","27.3","9.4 m -   21 m","0"
"(2024 CB4)","2024-Feb-20 15:38 ± < 00:01","0.06031","0.05995","10.49","10.49","24.5","34 m -   76 m","0"
"(2024 CK5)","2024-Feb-20 18:45 ±    00:07","0.01873","0.01862","9.51","9.50","27.5","8.4 m -   19 m","0"
"(2022 EJ1)","2024-Feb-21 01:26 ± < 00:01","0.06445","0.06445","12.41","12.41","23.5","52 m -  120 m","0"
"(2024 DM1)","2024-Feb-21 05:15 ±    00:01","0.02234","0.02223","7.48","7.47","27.1","10 m -   23 m","0"
"(2024 EV)","2024-Feb-21 13:09 ±    00:05","0.01247","0.01238","13.04","13.03","26.6","13 m -   28 m","0"
"(2024 CL5)","2024-Feb-21 15:19 ± < 00:01","0.01221","0.01214","13.97","13.95","26.1","16 m -   36 m","0"
"(2022 QB8)","2024-Feb-21 21:32 ±    10:09","0.06601","0.05895","10.53","10.53","25.9","18 m -   40 m","0"
"(2024 EJ)","2024-Feb-22 06:28 ±    00:02","0.02022","0.02013","10.78","10.76","25.6","21 m -   46 m","0"
"(2024 CE8)","2024-Feb-22 08:55 ± < 00:01","0.02706","0.02689","18.84","18.83","25.5","22 m -   48 m","0"
"(2024 EC)","2024-Feb-22 09:05 ± < 00:01","0.03018","0.03012","12.33","12.33","24.1","41 m -   91 m","0"
"(2024 DX)","2024-Feb-22 14:16 ± < 00:01","0.00518","0.00518","10.41","10.36","27.3","9.3 m -   21 m","0"
"(2024 EE3)","2024-Feb-22 15:01 ±    00:19","0.09529","0.09392","19.32","19.32","23.5","54 m -  120 m","0"
"(2024 EC2)","2024-Feb-22 18:39 ± < 00:01","0.01471","0.01469","13.09","13.07","25.2","25 m -   55 m","0"
"(2024 DJ1)","2024-Feb-22 18:50 ±    00:01","0.03209","0.03191","13.46","13.46","25.1","26 m -   57 m","0"
"(2021 SG1)","2024-Feb-22 23:12 ± 1_22:15","0.09147","0.09130","7.94","7.94","25.6","21 m -   46 m","0"
"(2020 DF)","2024-Feb-22 23:22 ± 6_16:42","0.07261","0.04321","8.48","8.47","26.2","15 m -   35 m","0"
"(2014 OW3)","2024-Feb-23 02:47 ± < 00:01","0.08065","0.08065","22.85","22.85","22.5","85 m -  190 m","0"
"(2024 BY15)","2024-Feb-23 08:57 ± < 00:01","0.03085","0.03083","1.58","1.53","26.7","12 m -   27 m","0"
"(2024 FC)","2024-Feb-23 09:37 ±    00:06","0.05365","0.05353","6.01","6.00","25.5","21 m -   47 m","0"
"(2024 CL3)","2024-Feb-23 12:31 ± < 00:01","0.02378","0.02371","4.17","4.14","26.3","14 m -   32 m","0"
"674590 (2015 RH2)","2024-Feb-23 22:44 ± < 00:01","0.09825","0.09825","9.67","9.67","22.0","110 m -  240 m","0"
"(2016 DF)","2024-Feb-24 05:36 ± 2_12:15","0.06883","0.04638","3.10","3.08","27.1","10 m -   23 m","0"
"(2024 EX)","2024-Feb-26 00:46 ±    00:10","0.00810","0.00809","8.04","8.00","27.7","7.8 m -   17 m","0"
"(2023 EF)","2024-Feb-26 06:44 ±    00:02","0.08291","0.08290","4.08","4.07","26.2","15 m -   35 m","0"
"(2024 DF1)","2024-Feb-26 12:32 ±    00:20","0.09400","0.09293","10.22","10.21","24.6","32 m -   72 m","0"
"(2024 EL)","2024-Feb-27 06:36 ± < 00:01","0.03050","0.03024","10.27","10.27","25.2","24 m -   54 m","0"
"(2024 CW7)","2024-Feb-27 12:46 ±    00:59","0.05518","0.05391","16.47","16.46","23.9","44 m -   98 m","0"
"(2024 EX1)","2024-Feb-27 17:38 ± < 00:01","0.01337","0.01328","16.29","16.28","25.9","18 m -   40 m","0"
"(2024 FB)","2024-Feb-27 18:25 ±    00:04","0.05179","0.05153","7.47","7.46","25.8","18 m -   41 m","0"
"(2024 CT7)","2024-Feb-27 23:37 ± < 00:01","0.01584","0.01581","7.71","7.69","26.7","12 m -   27 m","0"
"(2020 DW)","2024-Feb-27 23:50 ±    00:50","0.07745","0.07540","6.24","6.23","30.4","2.2 m -  4.9 m","0"
"(2024 CC7)","2024-Feb-28 11:08 ±    00:04","0.03937","0.03918","6.00","5.98","26.4","14 m -   32 m","0"
"(2024 CE7)","2024-Feb-28 16:23 ±    00:05","0.03473","0.03442","19.35","19.34","24.8","30 m -   66 m","0"
"(2024 DL)","2024-Feb-29 02:34 ± < 00:01","0.01167","0.01166","6.73","6.69","26.0","16 m -   37 m","0"
"(2024 EE)","2024-Feb-29 10:07 ± < 00:01","0.02400","0.02394","8.35","8.34","24.7","30 m -   68 m","0"
"(2024 FE1)","2024-Mar-01 02:53 ±    02:02","0.04058","0.04015","6.01","6.00","26.1","16 m -   35 m","0"
"(2024 ES1)","2024-Mar-01 09:09 ± < 00:01","0.01764","0.01753","7.43","7.41","26.4","14 m -   31 m","0"
"(2024 FH1)","2024-Mar-01 16:00 ±    00:03","0.03829","0.03818","4.49","4.48","25.7","19 m -   43 m","0"
"(2023 FW13)","2024-Mar-01 16:09 ± < 00:01","0.06552","0.06552","3.57","3.56","26.0","17 m -   37 m","0"
"(2024 EB)","2024-Mar-01 20:41 ± < 00:01","0.01588","0.01585","6.35","6.33","26.0","17 m -   38 m","0"
"(2024 EW1)","2024-Mar-02 12:33 ±    00:11","0.05408","0.05375","4.12","4.11","26.8","12 m -   26 m","0"
"(2024 ES)","2024-Mar-02 13:34 ±    00:01","0.09151","0.09141","6.15","6.15","25.1","26 m -   58 m","0"
"(2024 CX6)","2024-Mar-02 16:22 ±    00:02","0.07870","0.07782","16.72","16.72","23.7","49 m -  110 m","0"
"(2024 DF)","2024-Mar-02 17:52 ±    00:01","0.05770","0.05678","10.64","10.64","24.4","36 m -   80 m","0"
"(2024 EH2)","2024-Mar-03 14:00 ± < 00:01","0.01166","0.01162","12.21","12.19","26.4","14 m -   31 m","0"
"(2020 VA4)","2024-Mar-03 15:30 ± < 00:01","0.09906","0.09906","3.30","3.29","27.4","8.7 m -   19 m","0"
"(2024 ES2)","2024-Mar-03 18:37 ± < 00:01","0.02336","0.02318","10.57","10.56","26.4","14 m -   31 m","0"
"(2024 ED)","2024-Mar-03 20:00 ± < 00:01","0.02390","0.02386","17.92","17.91","25.2","24 m -   55 m","0"
"(2019 DA1)","2024-Mar-03 20:07 ± 8_07:14","0.03748","0.00081","13.38","13.38","26.0","17 m -   38 m","0"
"(2024 DE1)","2024-Mar-03 20:21 ±    00:01","0.09278","0.09214","10.63","10.62","24.7","31 m -   68 m","0"
"(2024 RB6)","2024-Mar-04 02:02 ±    00:05","0.05172","0.05088","7.57","7.56","27.7","7.6 m -   17 m","0"
"(2022 GM)","2024-Mar-04 02:08 ± 4_18:14","0.05617","0.05180","6.45","6.44","28.4","5.6 m -   13 m","0"
"(2024 CW6)","2024-Mar-04 08:20 ±    00:02","0.02553","0.02546","2.50","2.46","27.6","8.1 m -   18 m","0"
"(2024 EM2)","2024-Mar-04 09:22 ± < 00:01","0.00981","0.00977","11.35","11.33","26.9","11 m -   24 m","0"
"(2024 CK8)","2024-Mar-04 10:18 ± < 00:01","0.01777","0.01776","4.83","4.80","25.3","23 m -   52 m","0"
"(2024 EN2)","2024-Mar-04 15:49 ± < 00:01","0.00509","0.00505","17.92","17.90","26.5","13 m -   29 m","0"
"(2024 EZ)","2024-Mar-04 17:54 ± < 00:01","0.02076","0.02074","8.63","8.62","24.3","36 m -   81 m","0"
"(2024 EW3)","2024-Mar-05 21:12 ±    00:04","0.00701","0.00699","3.37","3.26","28.4","5.5 m -   12 m","0"
"(2024 EM3)","2024-Mar-05 22:58 ±    00:03","0.01943","0.01929","8.97","8.95","26.4","14 m -   31 m","0"
"(2024 FH)","2024-Mar-06 02:25 ±    00:45","0.05907","0.05824","19.93","19.92","23.7","48 m -  110 m","0"
"(2024 EC1)","2024-Mar-06 21:18 ± < 00:01","0.07953","0.07876","19.12","19.12","23.4","56 m -  130 m","0"
"(2024 EH)","2024-Mar-07 01:56 ± < 00:01","0.00338","0.00338","9.49","9.41","27.2","9.7 m -   22 m","0"
"(2024 EH4)","2024-Mar-07 09:49 ± < 00:01","0.08482","0.08385","18.61","18.61","23.8","46 m -  100 m","0"
"(2024 ET3)","2024-Mar-07 17:16 ±    00:04","0.00538","0.00534","8.06","8.00","28.4","5.6 m -   12 m","0"
"(2021 EY1)","2024-Mar-07 21:40 ±    16:46","0.09027","0.07064","17.46","17.46","26.7","12 m -   27 m","0"
"(2024 ET1)","2024-Mar-08 03:54 ± < 00:01","0.00646","0.00645","12.01","11.97","28.5","5.2 m -   12 m","0"
"(2024 DW1)","2024-Mar-08 05:44 ± < 00:01","0.02694","0.02692","19.87","19.87","23.9","45 m -  100 m","0"
"(2024 EY1)","2024-Mar-08 13:57 ± < 00:01","0.01539","0.01536","7.66","7.64","28.3","5.8 m -   13 m","0"
"(2024 EZ1)","2024-Mar-08 17:04 ± < 00:01","0.01731","0.01726","6.29","6.26","26.9","11 m -   24 m","0"
"(2024 EO)","2024-Mar-09 01:06 ± < 00:01","0.00926","0.00923","19.17","19.16","26.4","14 m -   32 m","0"
"(2024 EG)","2024-Mar-09 09:02 ± < 00:01","0.02155","0.02144","19.20","19.19","24.5","33 m -   73 m","0"
"(2024 EB3)","2024-Mar-09 12:07 ± < 00:01","0.03186","0.03173","17.74","17.73","24.5","33 m -   73 m","0"
"(2024 EQ1)","2024-Mar-09 12:07 ± < 00:01","0.01684","0.01680","17.14","17.13","25.1","25 m -   56 m","0"
"(2008 EM)","2024-Mar-09 12:23 ± < 00:01","0.09312","0.09312","13.80","13.80","24.7","31 m -   70 m","0"
"(2024 ES3)","2024-Mar-09 14:31 ± < 00:01","0.05843","0.05829","7.61","7.61","24.8","29 m -   65 m","0"
"(2024 CL2)","2024-Mar-09 20:09 ± < 00:01","0.05269","0.05254","6.78","6.77","23.9","44 m -   99 m","0"
"(2024 FQ2)","2024-Mar-10 04:56 ±    00:01","0.05284","0.05257","12.04","12.03","25.7","19 m -   43 m","0"
"(2024 FQ1)","2024-Mar-10 12:52 ±    00:18","0.04079","0.04003","14.15","14.14","25.2","24 m -   55 m","0"
"(2024 EJ3)","2024-Mar-10 14:15 ± < 00:01","0.00662","0.00660","13.79","13.76","26.8","12 m -   26 m","0"
"(2024 FC1)","2024-Mar-10 14:58 ± < 00:01","0.00223","0.00223","5.72","5.51","27.7","7.8 m -   17 m","0"
"(2024 EA2)","2024-Mar-10 15:04 ± < 00:01","0.01420","0.01410","11.01","10.99","27.5","8.5 m -   19 m","0"
"(2024 FR2)","2024-Mar-10 16:37 ±    00:41","0.02964","0.02929","4.80","4.78","26.0","16 m -   37 m","0"
"(2024 FZ2)","2024-Mar-10 17:35 ±    00:07","0.04837","0.04788","11.49","11.49","22.4","87 m -  200 m","0"
"(2024 EE2)","2024-Mar-10 21:15 ± < 00:01","0.03557","0.03516","18.70","18.69","24.9","28 m -   62 m","0"
"(2024 FP1)","2024-Mar-11 03:13 ± < 00:01","0.05290","0.05276","6.02","6.01","25.2","24 m -   54 m","0"
"(2024 CU6)","2024-Mar-11 03:50 ±    00:03","0.05440","0.05385","4.15","4.14","26.3","15 m -   33 m","0"
"(2024 ER3)","2024-Mar-11 04:18 ± < 00:01","0.03122","0.03099","15.71","15.70","25.6","21 m -   46 m","0"
"(2024 DA1)","2024-Mar-11 07:38 ± < 00:01","0.02404","0.02401","9.95","9.93","24.6","33 m -   73 m","0"
"(2024 EN4)","2024-Mar-11 12:53 ±    00:01","0.08658","0.08570","12.72","12.72","24.5","34 m -   76 m","0"
"(2005 EO30)","2024-Mar-11 14:14 ± < 00:01","0.06137","0.06137","7.69","7.69","23.0","66 m -  150 m","0"
"(2024 EX3)","2024-Mar-11 16:55 ± < 00:01","0.00785","0.00784","5.17","5.11","28.1","6.2 m -   14 m","0"
"(2024 FM)","2024-Mar-11 18:51 ±    00:34","0.01104","0.01092","8.68","8.65","27.8","7.3 m -   16 m","0"
"(2018 GY)","2024-Mar-12 01:11 ± < 00:01","0.09966","0.09966","12.81","12.81","24.8","29 m -   64 m","0"
"673675 (2015 FM34)","2024-Mar-12 02:35 ± < 00:01","0.04963","0.04963","11.07","11.06","22.5","84 m -  190 m","0"
"(2024 EG4)","2024-Mar-12 06:59 ± < 00:01","0.02233","0.02229","12.73","12.72","24.7","31 m -   69 m","0"
"(2024 FM3)","2024-Mar-12 21:46 ±    00:01","0.07593","0.07585","10.31","10.30","22.6","81 m -  180 m","0"
"(2024 EC3)","2024-Mar-13 07:22 ± < 00:01","0.00588","0.00587","7.22","7.16","28.6","5.0 m -   11 m","0"
"(2024 EL1)","2024-Mar-13 13:10 ± < 00:01","0.02179","0.02173","7.88","7.86","26.5","13 m -   30 m","0"
"(2024 FO)","2024-Mar-14 05:49 ±    00:01","0.01410","0.01403","11.48","11.46","25.5","21 m -   47 m","0"
"(2024 EH3)","2024-Mar-14 16:16 ± < 00:01","0.01668","0.01666","10.15","10.13","25.5","21 m -   47 m","0"
"(2024 EK3)","2024-Mar-15 03:15 ± < 00:01","0.00416","0.00415","6.84","6.75","28.9","4.3 m -  9.6 m","0"
"(2020 FU)","2024-Mar-15 21:29 ± 2_19:21","0.03809","0.03118","15.49","15.48","26.4","14 m -   31 m","0"
"(2024 EK4)","2024-Mar-16 00:35 ±    00:04","0.02688","0.02679","4.34","4.31","27.7","7.6 m -   17 m","0"
"(2024 CJ8)","2024-Mar-16 01:25 ± < 00:01","0.04417","0.04399","12.07","12.06","23.3","58 m -  130 m","0"
"(2024 FV1)","2024-Mar-16 02:10 ± < 00:01","0.00520","0.00516","14.38","14.35","27.6","8.0 m -   18 m","0"
"(2024 EQ)","2024-Mar-16 06:31 ± < 00:01","0.01774","0.01769","10.69","10.67","26.0","17 m -   37 m","0"
"(2024 FV)","2024-Mar-16 08:11 ±    00:02","0.04996","0.04970","6.84","6.83","25.7","19 m -   43 m","0"
"(2024 EK)","2024-Mar-16 15:29 ± < 00:01","0.01786","0.01782","7.61","7.59","26.8","12 m -   26 m","0"
"(2024 EX2)","2024-Mar-16 16:03 ± < 00:01","0.01495","0.01491","6.15","6.13","26.4","14 m -   32 m","0"
"(2024 FD)","2024-Mar-16 21:54 ± < 00:01","0.00528","0.00527","10.22","10.17","27.1","10 m -   23 m","0"
"(2004 FK2)","2024-Mar-17 23:18 ± < 00:01","0.06163","0.06162","7.64","7.64","24.3","36 m -   81 m","0"
"(2024 FW1)","2024-Mar-17 23:22 ± < 00:01","0.01029","0.01027","4.99","4.94","28.3","5.8 m -   13 m","0"
"(2024 EP3)","2024-Mar-17 23:30 ± < 00:01","0.02829","0.02819","8.95","8.93","24.7","30 m -   67 m","0"
"(2024 FJ1)","2024-Mar-18 02:29 ±    00:18","0.08090","0.07832","13.13","13.13","25.5","21 m -   47 m","0"
"(2024 FR4)","2024-Mar-18 03:25 ±    00:08","0.03525","0.03500","11.00","11.00","25.9","18 m -   40 m","0"
"(2024 EW)","2024-Mar-18 08:05 ± < 00:01","0.08315","0.08315","2.13","2.12","25.6","20 m -   45 m","0"
"(2024 ED3)","2024-Mar-18 08:37 ± < 00:01","0.00899","0.00899","9.95","9.92","25.3","23 m -   51 m","0"
"(2024 EN3)","2024-Mar-18 12:51 ± < 00:01","0.01431","0.01428","6.35","6.32","26.8","11 m -   26 m","0"
"(2024 FX2)","2024-Mar-18 13:08 ± < 00:01","0.08329","0.08320","8.82","8.82","23.4","57 m -  130 m","0"
"(2024 FS4)","2024-Mar-18 13:24 ±    00:03","0.04659","0.04629","9.29","9.29","25.8","18 m -   41 m","0"
"(2020 FD)","2024-Mar-18 19:11 ±    16:34","0.01162","0.00009","15.08","15.07","27.7","7.8 m -   17 m","0"
"(2024 FY1)","2024-Mar-19 13:18 ± < 00:01","0.00524","0.00523","10.31","10.26","26.4","14 m -   32 m","0"
"(2024 FO1)","2024-Mar-20 01:19 ± < 00:01","0.01535","0.01531","14.81","14.80","26.6","12 m -   28 m","0"
"(2024 GC)","2024-Mar-20 01:34 ±    00:01","0.07717","0.07695","6.64","6.63","24.9","28 m -   62 m","0"
"(2024 EQ3)","2024-Mar-20 05:35 ±    00:05","0.03080","0.03047","10.82","10.81","27.0","11 m -   24 m","0"
"(2024 EZ3)","2024-Mar-20 14:44 ± < 00:01","0.02968","0.02961","5.84","5.83","25.8","18 m -   41 m","0"
"(2024 EY3)","2024-Mar-20 18:51 ± < 00:01","0.03059","0.03043","11.62","11.61","24.6","33 m -   73 m","0"
